ID_registro;X;Y;N°;Fuente;ALA;UNIDAD_HID;PFAFSTETTE;TIPO_RH;NOMBRE_RIO;CÓDIGO_FI;DESCRIPCIO;DEPARTAMEN;PROVINCIA;DISTRITO;ZONA;ESTE;NORTE;ALTITUD_m_;CLASIFICAC;As_ppm;Cd_ppm;Pb_ppm;Hg_ppm
40545;-77.5460612966318;-9.75813814335735;182.000000;OEFA;;Cuenca Huarmey;;;;AFL5;Afloramiento de agua ubicado al lado de la vía interdistrital Recuay - Aija, ingresa por la margen izquierda de la quebrada Hércules (canalizada) frente a la bocamina Coturcán.;ANCASH;AIJA;AIJA;18.000000;220672.000000;8920276.000000;0.000000;;0.19040000000;0.07058000000;0.44270000000;0.00000000000
40546;-77.5461337546544;-9.75808338424597;183.000000;OEFA;;Cuenca Huarmey;;;;AFL9;"Afloramiento de agua proveniente de la zona remediada Coturcán, que ingresa por la margen derecha de la quebrada Hércules (canalizada), frente a la bocamina
Coturcán";ANCASH;AIJA;AIJA;18.000000;220664.000000;8920282.000000;0.000000;;0.04070000000;0.00053000000;0.00810000000;0.00000000000
40547;-77.5461800535338;-9.75818243663358;184.000000;OEFA;;Cuenca Huarmey;;;;QHERC5;Ubicado en la quebrada Hércules, aguas arriba del depósito de desmonte Coturcán;ANCASH;AIJA;AIJA;18.000000;220659.000000;8920271.000000;0.000000;;0.18830000000;0.02116000000;0.37600000000;0.00000000000
40548;-77.5489464599973;-9.75901114592412;185.000000;OEFA;;Cuenca Huarmey;;;;QHERC6;"Ubicado en la quebrada Hércules, aproximadamente a 130 metros aguas abajo de la
confluencia del canal izquierdo (CNI2)";ANCASH;AIJA;AIJA;18.000000;220356.000000;8920177.000000;0.000000;;0.18830000000;0.02928000000;0.37260000000;0.00000000000
40549;-77.5510171701636;-9.7593932322804;186.000000;OEFA;;Cuenca Huarmey;;;;AFL6;Afloramiento de agua ubicado al pie del PAM S/N, próximo a la bocamina Sansón norte (nivel 3);ANCASH;AIJA;AIJA;18.000000;220129.000000;8920133.000000;0.000000;;0.02650000000;0.07147000000;0.15920000000;0.00000000000
40550;-77.5518216293109;-9.75976672461229;187.000000;OEFA;;Cuenca Huarmey;;;;QHERC7;Ubicado en la quebrada Hércules, aproximadamente a 50 metros aguas arriba del pasivo PAS-HUA4, próximo a la bocamina Sansón CXNV4;ANCASH;AIJA;AIJA;18.000000;220041.000000;8920091.000000;0.000000;;0.32350000000;0.04048000000;0.56970000000;0.00000000000
40551;-77.5537778553136;-9.76066471237827;188.000000;OEFA;;Cuenca Huarmey;;;;QHERC8;Ubicado en la quebrada Hércules, aproximadamente a 50 metros aguas abajo del pasivo PAS-HUA4, próximo a la bocamina Sansón CXNV4;ANCASH;AIJA;AIJA;18.000000;219827.000000;8919990.000000;0.000000;;0.23790000000;0.06321000000;0.31610000000;0.00000000000
40552;-77.554999380529;-9.76197482869905;189.000000;OEFA;;Cuenca Huarmey;;;;QHERC9;Ubicado en la quebrada Hércules, aguas arriba del PAM DESM NIV05 ID19072;ANCASH;AIJA;AIJA;18.000000;219694.000000;8919844.000000;0.000000;;0.31360000000;0.09734000000;0.33460000000;0.00000000000
40553;-77.555238000906;-9.76220797807225;190.000000;OEFA;;Cuenca Huarmey;;;;AFL7;Afloramiento de agua ubicado al pie del PAM DESM NIV05 ID19072, que ingresa a la quebrada Hércules aproximadamente a 160 metros aguas arriba del punto QHerc10;ANCASH;AIJA;AIJA;18.000000;219668.000000;8919818.000000;0.000000;;0.22200000000;0.10522000000;0.24220000000;0.00000000000
40554;-77.5558450410464;-9.76297149493454;191.000000;OEFA;;Cuenca Huarmey;;;;AFL8;"Afloramiento de agua ubicado al pie del PAM DESM NIV05 ID19072, que ingresa a la quebrada
Hércules aproximadamente a 40 metros aguas arriba del punto QHerc10";ANCASH;AIJA;AIJA;18.000000;219602.000000;8919733.000000;0.000000;;28.37180000000;1.55890000000;1.44080000000;0.00000000000
40555;-77.5560028557047;-9.76335886495736;192.000000;OEFA;;Cuenca Huarmey;;;;QHERC10;Ubicado en la quebrada Hércules, aguas debajo de las filtraciones del PAM DESM NIV05 ID19072;ANCASH;AIJA;AIJA;18.000000;219585.000000;8919690.000000;0.000000;;0.34500000000;0.11075000000;0.30840000000;0.00000000000
40556;-77.5570629938033;-9.76500451888564;193.000000;OEFA;;Cuenca Huarmey;;;;QHERC11;"Ubicado en la quebrada Hércules, aproximadamente a 80 metros aguas abajo de la
confluencia del canal derecho y a 200 metros aguas arriba del depósito de desmonte Hércules";ANCASH;AIJA;AIJA;18.000000;219470.000000;8919507.000000;0.000000;;0.21370000000;0.06897000000;0.23550000000;0.00000000000
40557;-77.5545839869688;-9.76722796223449;194.000000;OEFA;;Cuenca Huarmey;;;;QHuay1;"Ubicado en la quebrada Huayhuash, aproximadamente a 380 metros aguas arriba de su
confluencia con la quebrada Hércules (Q-H-03)";ANCASH;AIJA;AIJA;18.000000;219744.000000;8919263.000000;0.000000;;0.01660000000;0.01223000000;0.00210000000;0.00000000000
40558;-77.5582697142444;-9.76675749851335;195.000000;OEFA;;Cuenca Huarmey;;;;QHERC12;"Ubicado en la quebrada Hércules, aproximadamente a 30 metros aguas abajo de la
confluencia con la quebrada Huayhuash";ANCASH;AIJA;AIJA;18.000000;219339.000000;8919312.000000;0.000000;;0.15100000000;0.04857000000;0.09760000000;0.00000000000
40559;-77.559642540413;-9.76759657101567;196.000000;OEFA;;Cuenca Huarmey;;;;QHERC13;Ubicado en la quebrada Hércules, aproximadamente a 110 metros aguas arriba del antiguo punto de descarga del efluente EM-01;ANCASH;AIJA;AIJA;18.000000;219189.000000;8919218.000000;0.000000;;0.13190000000;0.04990000000;0.08730000000;0.00000000000
40560;-77.5614047052217;-9.76812547685802;197.000000;OEFA;;Cuenca Huarmey;;;;QHERC14;Ubicado en la quebrada Hércules, aproximadamente a 90 metros aguas abajo del antiguo punto de descarga del efluente EM-01 (QHerc02);ANCASH;AIJA;AIJA;18.000000;218996.000000;8919158.000000;0.000000;;0.13030000000;0.05439000000;0.09170000000;0.00000000000
40561;-77.5669094964248;-9.77204179433091;198.000000;OEFA;;Cuenca Huarmey;;;;QHERC15;"Ubicado en la quebrada Hércules, aproximadamente a 100 metros aguas arriba de la
confluencia con la quebrada Pallca";ANCASH;AIJA;AIJA;18.000000;218395.000000;8918720.000000;0.000000;;0.12800000000;0.04926000000;0.10600000000;0.00000000000
40562;-77.5670395174088;-9.77236611200885;199.000000;OEFA;;Cuenca Huarmey;;;;QPall1;Ubicado en la quebrada Pallca, aproximadamente a 110 metros aguas arriba de su confluencia con la quebrada Hércules (Cag01);ANCASH;AIJA;AIJA;18.000000;218381.000000;8918684.000000;0.000000;;0.00840000000;0.00020000000;0.00230000000;0.00000000000
40563;-77.5688805924857;-9.7713040251281;200.000000;OEFA;;Cuenca Huarmey;;;;RSant1;Ubicado en el río Santiago, aproximadamente a 130 metros aguas abajo de la confluencia de las quebradas Hércules y Pallca, y a 300 metros aguas arriba de la confluencia de la quebrada Curcuy (Cag-02);ANCASH;AIJA;AIJA;18.000000;218178.000000;8918800.000000;0.000000;;0.04960000000;0.01569000000;0.03870000000;0.00000000000
40564;-77.5695439230998;-9.76871469827524;201.000000;OEFA;;Cuenca Huarmey;;;;QCurc1;Ubicado en la quebrada Curcuy, aproximadamente a 270 metros aguas arriba de su confluencia con el río Santiago;ANCASH;AIJA;AIJA;18.000000;218103.000000;8919086.000000;0.000000;;0.00650000000;0.00071000000;0.00100000000;0.00000000000
40565;-77.5724003980604;-9.77058164546705;202.000000;OEFA;;Cuenca Huarmey;;;;RSant2;Ubicado en el río Santiago, aproximadamente a 280 metros aguas abajo de la confluencia con la quebrada Curcuy;ANCASH;AIJA;AIJA;18.000000;217791.000000;8918877.000000;0.000000;;0.04000000000;0.00984000000;0.02280000000;0.00000000000
40566;-77.5606156030161;-9.76738141807413;203.000000;OEFA;;Cuenca Huarmey;;;;AFL11;"Afloramiento de agua ubicado al pie del depósito de desmonte Hércules,
captada hacia la poza de captación de filtraciones A (zona de la PTAAM)";ANCASH;AIJA;AIJA;18.000000;219082.000000;8919241.000000;0.000000;;0.02030000000;1.28200000000;0.04890000000;0.00000000000
40567;-77.5354567973591;-9.75556058738311;204.000000;OEFA;;Cuenca Huarmey;;;;INV-4;Afloramiento de agua ubicado al norte del depósito de desmonte Caridad.;ANCASH;AIJA;AIJA;18.000000;221834.000000;8920570.000000;0.000000;;0.50290000000;0.02783000000;0.36210000000;0.00000000000
40568;-77.5385527011194;-9.75178747219757;205.000000;OEFA;;Cuenca Huarmey;;;;ASB-1;Flujo de agua aportante de la quebrada Hércules en la margen derecha, ubicado aproximadamente a 170 metros al noroeste de la cantera Caridad.;ANCASH;AIJA;AIJA;18.000000;221491.000000;8920985.000000;0.000000;;0.01370000000;0.00048000000;0.01010000000;0.00000000000
40569;-77.5372243995111;-9.76042702311108;206.000000;OEFA;;Cuenca Huarmey;;;;INV-2;Afloramiento de agua ubicado en el bofedal de la zona San Germán;ANCASH;AIJA;AIJA;18.000000;221644.000000;8920030.000000;0.000000;;0.14580000000;0.00020000000;0.00430000000;0.00000000000
40570;-77.5352827554169;-9.75663720297507;207.000000;OEFA;;Cuenca Huarmey;;;;PZ-DDCa01;Piezómetro ubicado al sureste del depósito de desmonte Caridad.;ANCASH;AIJA;AIJA;18.000000;221854.000000;8920451.000000;0.000000;;0.24210000000;0.58216000000;0.47160000000;0.00000000000
40571;-77.5362038355836;-9.75677492646046;208.000000;OEFA;;Cuenca Huarmey;;;;PZ-DDCa02;Piezómetro ubicado al suroeste del depósito de desmonte Caridad.;ANCASH;AIJA;AIJA;18.000000;221753.000000;8920435.000000;0.000000;;0.38620000000;0.02918000000;0.55740000000;0.00000000000
40572;-77.5483685546726;-9.75848233452579;209.000000;OEFA;;Cuenca Huarmey;;;;PZ-DDCo01;Piezómetro ubicado al noreste del depósito de desmonte Coturcán.;ANCASH;AIJA;AIJA;18.000000;220419.000000;8920236.000000;0.000000;;0.01040000000;0.04868000000;0.04050000000;0.00000000000
40573;-77.5468979958261;-9.75796019864406;210.000000;OEFA;;Cuenca Huarmey;;;;PZ-DDCo02;Piezómetro ubicado al suroeste del depósito de desmonte Coturcán.;ANCASH;AIJA;AIJA;18.000000;220580.000000;8920295.000000;0.000000;;0.11260000000;0.00307000000;0.10100000000;0.00000000000
