ID_registro;FID;Shape;Prob_DAR;Cordillera;Cuenca;Zona UTM;Departamen;Provincia;Distrito;UNIDAD_geo;TIPO_UNIDA;LITOLOGIA_;Este_m;Norte_m
34404;31;Point;0.76075;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;176652.08;9066395.5
34405;32;Point;0.79064;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;DepÃ³sito aluvial;Sedimento;Grava, limoarena;183220.87;9066406.77
34406;33;Point;0.78159;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;175999.27;9066302.74
34407;34;Point;0.77819;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;177884.14;9065827.98
34408;35;Point;0.757708;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;175601.97;9065810.8
34409;36;Point;0.752371;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;175409.32;9065317.1
34410;37;Point;0.758875;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;179142.6;9065298.43
34411;38;Point;0.761514;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;178761.8;9065244.86
34412;39;Point;0.795176;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;178403.69;9065203.73
34413;40;Point;0.755082;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;178449.87;9064986.96
34414;41;Point;0.761464;Blanca;Cuenca Santa;18;ANCASH;CORONGO;ACO;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;180653.37;9064918.89
34415;42;Point;0.759275;Blanca;Cuenca Santa;18;ANCASH;CORONGO;ACO;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;180852.04;9064830.87
34416;43;Point;0.763458;Blanca;Cuenca Santa;18;ANCASH;CORONGO;ACO;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;180908.79;9064689.59
34417;44;Point;0.753959;Blanca;Cuenca Santa;18;ANCASH;CORONGO;ACO;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;180996.91;9064560.62
34418;45;Point;0.77636;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CORONGO;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;176968.67;9064128.08
34419;46;Point;0.807723;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;200081.91;9063495.27
34420;47;Point;0.781121;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;199780.33;9063282.85
34421;48;Point;0.774454;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;RAGASH;Grupo Goyllarisquizga - FormaciÃ³n ChimÃº;Sedimentaria;Arenisca;199774.01;9061344.38
34422;49;Point;0.807087;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CORONGO;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;175458.33;9060429.75
34423;50;Point;0.776712;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;Grupo Goyllarisquizga - FormaciÃ³n Santa;Sedimentaria;Lutita, caliza mudstone, caliza bounstone;200497.62;9056129.62
34424;51;Point;0.754765;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;199806.24;9053548.61
34425;52;Point;0.772284;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;196362.72;9043842.18
34426;53;Point;0.823892;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195717.92;9042898.09
34427;54;Point;0.789943;Blanca;Cuenca Santa;18;ANCASH;CORONGO;LA PAMPA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193550.47;9042772.72
34428;55;Point;0.782514;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;199448.19;9042834.83
34429;56;Point;0.761966;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;SAN JUAN;Grupo Goyllarisquizga - FormaciÃ³n Carhuaz;Sedimentaria;Arenisca, limolita;201827.24;9042306.32
34430;57;Point;0.782373;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;194987.2;9041820.22
34431;58;Point;0.765104;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195066.61;9040428.11
34432;59;Point;0.783576;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;198858.58;9039958.06
34433;60;Point;0.756152;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;197429.63;9039974.66
34434;61;Point;0.814983;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;197756.72;9039892.51
34435;62;Point;0.805109;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;199952.08;9039837.28
34436;63;Point;0.807816;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;200557.59;9039692.29
34437;64;Point;0.764262;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;192638.53;9039626.47
