ID_registro;X;Y;P;PROVINCIA;DISTRITO;ALIMENTO;CONTAMINAN;RESULTADO;COND_AN;ESTE;NORTE;ZONA
40856;-78.4306233227734;-9.09744300705414;74.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;ARSENICO;0.079;SIN PARAMETRO;782425.000000;8993373.000000;17
40857;-78.4306233227734;-9.09744300705414;75.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;PLOMO;0.288;EXCEDE LMP;782425.000000;8993373.000000;17
40858;-78.4426596398814;-9.08992805325668;76.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;ARSENICO;0.066;SIN PARAMETRO;781107.000000;8994214.000000;17
40859;-78.4426596398814;-9.08992805325668;77.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;PLOMO;0.13;EXCEDE LMP;781107.000000;8994214.000000;17
40860;-78.5359410115429;-9.12599446167989;78.000000;SANTA;NUEVO CHIMBOTE;MARACUYA;CADMIO;0.061;EXCEDE LMP;770820.010000;8990294.120000;17
40861;-78.6015324543998;-8.95974714844861;79.000000;SANTA;SANTA;ZANAHORIA;ARSENICO;0.096;SIN PARAMETRO;763728.000000;9008738.000000;17
40862;-77.6498219332582;-9.8234499710361;1.000000;AIJA;SUCCHA;CARNE DE BOVINO;ARSENICO;<0.027;SIN PARAMETRO;209337.770000;8912960.050000;18
40863;-77.6498219332582;-9.8234499710361;2.000000;AIJA;SUCCHA;CARNE DE BOVINO;ARSENICO;<0.027;SIN PARAMETRO;209337.770000;8912960.050000;18
40864;-77.5412003876464;-10.1699492632018;3.000000;BOLOGNESI;ANTONIO RAYMONDI;TOMATE;ARSENICO;0.013;SIN PARAMETRO;221555.600000;8874706.410000;18
40865;-77.5412529096809;-10.1737173544836;4.000000;BOLOGNESI;ANTONIO RAYMONDI;TOMATE;ARSENICO;<0.008;SIN PARAMETRO;221553.110000;8874289.360000;18
40866;-77.6674174602418;-9.27110813422674;5.000000;CARHUAZ;TINCO;MOLOCOTON;ARSENICO;<0.025;SIN PARAMETRO;206934.000000;8974075.000000;18
40867;-77.5241528076128;-9.52676992908646;8.000000;HUARAZ;HUARAZ;MARACUYA;ARSENICO;<0.025;SIN PARAMETRO;222888.000000;8945898.000000;18
40868;-77.7916929170494;-9.06707311051389;21.000000;HUAYLAS;CARAZ;PALTA;ARSENICO;0.076;SIN PARAMETRO;193094.430000;8996553.410000;18
40869;-77.8191146587412;-9.01161073984996;22.000000;HUAYLAS;CARAZ;BETERRAGA;ARSENICO;0.078;SIN PARAMETRO;190030.000000;9002669.000000;18
40870;-77.8356382441896;-9.02468303979514;23.000000;HUAYLAS;CARAZ;QUINUA;ARSENICO;0.016;SIN PARAMETRO;188223.000000;9001208.000000;18
40871;-77.7979382199424;-9.03378118420029;24.000000;HUAYLAS;CARAZ;LECHUGA;ARSENICO;0.019;SIN PARAMETRO;192379.000000;9000233.000000;18
40872;-77.7874152320336;-9.08465507725308;25.000000;HUAYLAS;PUEBLO LIBRE;LECHUGA;ARSENICO;0.272;SIN PARAMETRO;193580.000000;8994611.000000;18
40873;-77.7874152320336;-9.08465507725308;26.000000;HUAYLAS;PUEBLO LIBRE;LECHUGA;PLOMO;0.495;EXCEDE LMP;193580.000000;8994611.000000;18
