ID_registro,Código ANA,Año de identificación,Intervención propuesta,Sector,Río o quebrada,Cuerpo de agua,Unidad hidrográfica declarada,Provincia,Distrito,Familias declaradas,Viviendas declaradas,Longitud de intervención,Presupuesto estimado (S/),Observación,Infraestructura afectada,Autoridad Administrativa del Agua,Administración Local de Agua
41170,2019-464,2019,Defensa ribereña,Jancapampa,Qda. Janca Pampa-Ñañayoc,,Intercuenca Alto Marañón V,Pomabamba,Pomabamba,,,0.851 km,2 161 721.97,,,06,0609
41171,2019-465,2019,Defensa ribereña,Parobamba,Qda. Chogo,,Intercuenca Alto Marañón V,Pomabamba,Parobamba,,,0.807 km,1 548 057.83,,,06,0609
41172,2019-466,2019,Defensa ribereña,El Mangle,Qda. Huanchaj,,Intercuenca Alto Marañón V,Sihuas,Sihuas,,,0.16 km,55 059.73,,,06,0609
41173,2019-467,2019,Defensa ribereña,Lucerito-Chirimoyo,Qda. Colpa,,Intercuenca Alto Marañón V,Sihuas,Sihuas,,,0.9 km,2 580 473.77,,,06,0609
41174,2019-468,2019,Defensa ribereña,Pachacutec,Qda. Pachacutec,,Intercuenca Alto Marañón V,Sihuas,Sihuas,,,0.228 km,82 514.31,,,06,0609
41175,2019-469,2019,Defensa ribereña,Huascar,Qda. Huascar,,Intercuenca Alto Marañón V,Sihuas,Sihuas,,,0.315 km,48 723.71,,,06,0609
41176,2019-470,2019,Defensa ribereña,Mitobamba,Shuas,,Intercuenca Alto Marañón V,Sihuas,Sihuas,,,1.693 km,354 745.66,,,06,0609
41177,2019-471,2019,"limpieza,descolmatación y construcción dique con enrocado",Huayaupuquio,Pomabamba,,Intercuenca Alto Marañon V,Mariscal Luzuriaga,Casca,,,2.567 km,5 085 979.20,,,06,0609
41178,2019-478,2019,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Malvado Alto,Fortaleza,,Fortaleza,No resuelve contra INEI,Ubigeo declarado 150202,,,0.5 km,1 103 543.78,,,03,0305
41179,2019-484,2019,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Tranca-Desembocaudura rio Fortaleza,Julquillas,,Fortaleza,No resuelve contra INEI,Ubigeo declarado 150202,,,3.15 km,6 218 857.04,,,03,0305
41180,2020-413,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Pativilca,Alpas,Pativilca,Pativilca,Pativilca,Ocros,Cochas,261,,0.18 km,430 595.97,,,03,0305
41181,2020-414,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Pativilca,Alpas,Pativilca,Pativilca,Pativilca,Ocros,Cochas,261,,0.3 km,687 005.15,,,03,0305
41182,2020-415,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Pativilca,Cochas,Pativilca,Pativilca,Pativilca,Ocros,Cochas,1000,,0.6 km,1 328 027.81,,,03,0305
41183,2020-416,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Aquia,Pativilca,Pativilca,Pativilca,Bolognesi,Aquia,150,,0.17 km,134 141.90,,,03,0305
41184,2020-417,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Aquia,Pativilca,Pativilca,Pativilca,Bolognesi,Aquia,150,,0.19 km,148 245.97,,,03,0305
41185,2020-418,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Aquia,Pativilca,Pativilca,Pativilca,Bolognesi,Aquia,150,,0.19 km,151 654.87,,,03,0305
41186,2020-419,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Aucayco-Pacayal Chico,Julquillas,Julquillas,Fortaleza,Ocros,San Pedro,1,,4.76 km,8 972 751.70,,,03,0305
