ID,X,Y,DEP,PROV,DIST,NOMCP,RED_SALUD,METALES,ZONA,Cuenca
40984,-77.8527077069855,-8.26854916899952,ANCASH,PALLASCA,CONCHUCOS,Conchucos,Pacífico Norte,Plomo,Rural,Cuenca Santa
40985,-77.4564468499956,-9.72173349999989,ANCASH,RECUAY,RECUAY,Recuay,Huaylas Sur,Arsénico,Rural,Cuenca Santa
40986,-77.4608899999956,-9.73490832999986,ANCASH,RECUAY,RECUAY,Chiriac,Huaylas Sur,Arsénico,Rural,Cuenca Santa
40987,-77.4560699999956,-9.74152832999986,ANCASH,RECUAY,TICAPAMPA,Chuyan,Huaylas Sur,Arsénico,Rural,Cuenca Santa
40988,-77.4498083299957,-9.75314499999989,ANCASH,RECUAY,TICAPAMPA,Rampac,Huaylas Sur,Arsénico,Rural,Cuenca Santa
40989,-77.3867683299962,-9.15315666999989,ANCASH,ASUNCION,CHACAS,Jambon,Huaylas Sur,Arsénico,Rural,Intercuenca Alto Marañón V
40990,-78.4959427999447,-9.26227155999774,ANCASH,SANTA,SAMANCO,Samanco,Pacífico Sur,Arsénico,Urbano,Cuenca Nepeña
40991,-77.1784083199981,-9.58850344999996,ANCASH,HUARI,Chavín de Huántar,Chavín de Huántar,Conchucos Sur,Arsénico,Urbano,Intercuenca Alto Marañón V
40992,-77.1749366699981,-9.66824332999995,ANCASH,HUARI,SAN MARCOS,Pichiu San Pedro,Conchucos Sur,Plomo/Cadmio,Rural,Intercuenca Alto Marañón V
40993,-77.5047416699946,-9.01630166999987,ANCASH,YUNGAY,YANAMA,Yerba Buena,Huaylas Norte,Arsénico,Rural,Intercuenca Alto Marañón V
