ID_registro,Titular,Clase de derecho,Tipo de uso,Fuente de agua,Descripción,Resolución,Fecha de resolución,Autoridad Administrativa del Agua,Administración Local de Agua,Unidad hidrográfica,Provincia,Distrito
41381,Oscar Anthony Lurita Huayamares,Licencia,Agrícola,Río PATIVILCA,,,,Cañete Fortaleza,Barranca,Intercuenca 137579,Declarada: Barranca,Declarado: Pativilca
41382,Aquilina Chavez Ugarte,Licencia,Agrícola,Río PATIVILCA,JUNTA DE USUARIOS DEL VALLE DE PATIVILCA DEL DISTRITO DE RIEGO BARRANCA,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Pativilca
41383,Cesar Alejandro Varamendi Mejia,Licencia,Agrícola,Río PATIVILCA,JUNTA DE USUARIOS DEL VALLE DE PATIVILCA DEL DISTRITO DE RIEGO BARRANCA,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Pativilca
41384,Carmen Julia Veramendi Mejia,Licencia,Agrícola,Río PATIVILCA,JUNTA DE USUARIOS DEL VALLE DE PATIVILCA DEL DISTRITO DE RIEGO BARRANCA,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Pativilca
41385,"DOROTEO REQUENA, LUIS APARICIO",Licencia,Agrícola,Quebrada GUERRO RAGRA,"JUNTA DE USUARIOS DE AGUA DEL SECTOR HIDRAULICO DE LA CUENCA DEL RIO PATIVILCA - DOROTEO REQUENA, LUIS APARICIO",,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Cajatambo,Declarado: Manas
41386,Hercilio Gil Garcia Tamayo,Licencia,Agrícola,Río PATIVILCA,JUNTA DE USUARIOS DEL VALLE DE PATIVILCA DEL DISTRITO DE RIEGO BARRANCA,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Pativilca
41387,RIOS ALARCON ANTONIA,Licencia,Agrícola,Río PATIVILCA,"Administración Provisional del Sector Hidráulico Menor Pativilca Clase A, de la Junta de Usuarios del Valle de Pativilca del Distrito de Riego Barranca",,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Barranca
41388,Zoila Vargas Vda. de Cabello,Licencia,Agrícola,Río PATIVILCA,Junta de Usuarios del Sector Hidráulico Menor Pativilca Clase A,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Declarada: Barranca,Declarado: Supe
41389,MUNICIPALIDAD DISTRITAL DE COCHAS,Licencia,Poblacional,Quebrada HUANCHAY(RIO GRANDE OCROS),MUNICIPALIDAD DISTRITAL DE COCHAS,1077 2021-ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Ocros,Cochas
41390,COMUNIDAD CAMPESINA  SANTO DOMINGO DE OCROS,Licencia,Agrícola,Manantial RACRAC TARA,COMUNIDAD CAMPESINA  SANTO DOMINGO DE OCROS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Ocros,Ocros
41391,Eduardo Nonaka Tarazona,Licencia,Agrícola,Río PATIVILCA,,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Ocros,Cochas
41392,MUNICIPALIDAD DISTRITAL DE COCHAS,Licencia,Poblacional,Río PATIVILCA,MUNICIPALIDAD DISTRITAL DE COCHAS,1078 2021-ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Ocros,Cochas
41393,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS  DEL CENTRO POBLADO CUSPÓN,Licencia,Poblacional,Manantial CUSPÓN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS  DEL CENTRO POBLADO CUSPÓN,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41394,COMUNIDAD CAMPESINA CUSPON,Licencia,Agrícola,Manantial Cachicuta / Manantial Huancacocha / Manantial SUPROPUQUIO / Manantial Yacujitana,COMUNIDAD CAMPESINA CUSPON,1640-2019 ANA-AAA-CAÑETE-FORTALEZA,2019-11-25,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41395,COMUNIDAD CAMPESINA DE PACLLON,Licencia,Agrícola,Manantial YACUCANTU HUANCA 1 / Manantial YACUCANTU HUANCA 2 / Manantial PUCAYACU,COMUNIDAD CAMPESINA DE PACLLON,1410-2020 ANA-AAA CAÑETE FORTALEZA,2020-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Pacllon
41396,COMUNIDAD CAMPESINA DE PACLLON,Licencia,Agrícola,Quebrada LLIMCA / Quebrada SACRARRAGRA 1 / Quebrada SACRARRAGRA 2,COMUNIDAD CAMPESINA DE PACLLON,1305-2020 ANA-AAA CAÑETE FORTALEZA,2020-12-28,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Pacllon
41397,COMUNIDAD CAMPESINA DE PACLLON,Licencia,Agrícola,Quebrada LLIMCA / Quebrada LLIMCA,COMUNIDAD CAMPESINA DE PACLLON,1304-2020 ANA-AAA CAÑETE FORTALEZA,2020-12-28,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Pacllon
41398,COMUNIDAD CAMPESINA DE PACLLON,Licencia,Agrícola,Quebrada LLIMCA,COMUNIDAD CAMPESINA DE PACLLON,1303-2020 ANA-AAA CAÑETE FORTALEZA,2020-12-28,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Pacllon
41399,COMISIÓN DE USUARIOS DE CHIQUIAN,Licencia,Agrícola,Río PATIVILCA,COMISIÓN DE USUARIOS DE CHIQUIAN,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41400,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO DE CARCAS,Licencia,Poblacional,Manantial JEQUINAGRA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO DE CARCAS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41401,MUNICIPALIDAD PROVINCIAL DE BOLOGNESI,Licencia,Poblacional,Manantial CANCHAYOC,MUNICIPALIDAD PROVINCIAL DE BOLOGNESI,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41402,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CENTRO POBLADO DE RACRACHACA,Licencia,Poblacional,Manantial YERBABUENA / Manantial YERBABUENA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CENTRO POBLADO DE RACRACHACA,1098-2021 ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41403,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CENTRO POBLADO DE PACHAPAQUI,Licencia,Poblacional,Manantial BANDERA PUQUIO I / Manantial BANDERA PUQUIO II / Manantial QUIMA PUQUIO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CENTRO POBLADO DE PACHAPAQUI,1097-2021 ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41404,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO PACARENCA,Licencia,Poblacional,Manantial JOCHA PUQUIO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO PACARENCA,1096-2021 ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41405,COMUNIDAD CAMPESINA DE CARCAS,Licencia,Agrícola,Quebrada RAGRA COCHA,COMUNIDAD CAMPESINA DE CARCAS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41406,COMUNIDAD CAMPESINA DE CARCAS,Licencia,Agrícola,Quebrada RAGRA COCHA,COMUNIDAD CAMPESINA DE CARCAS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41407,COMUNIDAD CAMPESINA DE CARCAS,Licencia,Agrícola,Quebrada RAGRA COCHA,COMUNIDAD CAMPESINA DE CARCAS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41408,COMUNIDAD CAMPESINA DE CARCAS,Licencia,Agrícola,Quebrada RAGRA COCHA,COMUNIDAD CAMPESINA DE CARCAS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41409,COMUNIDAD CAMPESINA DE CARCAS,Licencia,Agrícola,Quebrada RAGRA COCHA,COMUNIDAD CAMPESINA DE CARCAS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41410,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO VILLANUEVA,Licencia,Poblacional,Manantial MAGASH / Manantial NAWIN YACUACHANGA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO VILLANUEVA,1083 2021-ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41411,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO DE CHINCHOPUQUIO,Licencia,Poblacional,Manantial PINUACOCHA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO DE CHINCHOPUQUIO,1062-2020 ANA-AAA-CAÑETE FORTALEZA,2020-11-13,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41412,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO  JASS COLCAN,Licencia,Poblacional,Quebrada WISHCASH / Manantial COLCAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO  JASS COLCAN,1055-2020 ANA-AAA-CAÑETE FORTALEZA,2020-11-13,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Huasta
41413,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO  DEL CENTRO POBLADO DE OBRAJE,Licencia,Poblacional,Manantial UYU,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO  DEL CENTRO POBLADO DE OBRAJE,1299-2020 ANA-AAA CAÑETE FORTALEZA,2020-12-28,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41414,JASS DEL PARAJE DE PUCUSH,Licencia,Poblacional,Manantial BARRANCO / Manantial GARHUAPUQUIO,JASS DEL PARAJE DE PUCUSH,1294-2020 ANA-AAA CAÑETE FORTALEZA,2020-12-28,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Huasta
41415,COMUNIDAD CAMPESINA CARCAS,Licencia,Agrícola,Quebrada RAGRA COCHA,COMUNIDAD CAMPESINA CARCAS,,,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Chiquian
41416,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE AQUIA,Licencia,Poblacional,Manantial UPABADO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE AQUIA,1095-2021 ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41417,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO URANYACU,Licencia,Poblacional,Manantial BADO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO URANYACU,1094-2021 ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41418,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE SUYAN,Licencia,Poblacional,Manantial PUTGARAGRA I / Manantial PUTGARAGRA II / Manantial PUTGARAGRA III,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE SUYAN,1093-2021 ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41419,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE AQUIA,Licencia,Poblacional,Manantial YANAPAMPA I / Manantial YANAPAMPA II / Manantial PUCÚN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE AQUIA,1092-2021 ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41420,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO SANTA ROSA,Licencia,Poblacional,Manantial MONTE HUAYI / Manantial GOLUTARAGRA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO SANTA ROSA,1091 2021-ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41421,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO SAN MIGUEL,Licencia,Poblacional,Manantial SUPLOC PUQUIO / Manantial HUATUN PUQUIO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO SAN MIGUEL,1082 2021-ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Pativilca,Bolognesi,Aquia
41422,MUNICIPALIDAD DISTRITAL DE CONGAS,Licencia,Poblacional,Quebrada YANARRAGRA,MUNICIPALIDAD DISTRITAL DE CONGAS,1412-2020 ANA-AAA CAÑETE FORTALEZA,2020-12-30,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Ocros,Congas
41423,MUNICIPALIDAD DISTRITAL DE SAN PEDRO,Licencia,Poblacional,Acuífero FORTALEZA,MUNICIPALIDAD DISTRITAL DE SAN PEDRO,1089-2021 ANA-AAA.CF,2021-12-30,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Ocros,San Pedro
41424,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,Licencia,Poblacional,Manantial MAKNA,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Huayllacayan
41425,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,Licencia,Poblacional,Manantial YACU PASHTAC,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Huayllacayan
41426,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,Licencia,Poblacional,Manantial CUNTURIOC,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Huayllacayan
41427,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,Licencia,Agrícola,Manantial LEANDRO MONTE / Quebrada ICHIC TOMA,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Ocros,Congas
41428,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,Licencia,Poblacional,Manantial JATUN HUAYAL COCHA,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Huayllacayan
41429,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,Licencia,Agrícola,Quebrada SANTA ROSA,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Ocros,Congas
41430,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,Licencia,Agrícola,Quebrada SANTA ROSA,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Ocros,Congas
41431,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,Licencia,Agrícola,Manantial COMUN CORRAL / Quebrada SANTA ROSA,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Huayllacayan
41432,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,Licencia,Agrícola,Quebrada SANTA ROSA / Quebrada SANTA ROSA / Quebrada SANTA ROSA,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,0932-2022 ANA-AAA.CF,2022-08-31,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Colquioc
41433,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,Licencia,Agrícola,Quebrada SANTA ROSA,COMITÉ DE USUARIOS DE RECURSOS HIDRICOS HUAYLLACAYAN,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Colquioc
41434,MUNICIPALIDAD DEL CENTRO POBLADO DE CHAUCAYAN,Licencia,Poblacional,Manantial POMAY,MUNICIPALIDAD DEL CENTRO POBLADO DE CHAUCAYAN,1059-2020 ANA-AAA-CAÑETE FORTALEZA,2020-11-13,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Recuay,Llacllin
41435,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO - JASS DE LA LOCALIDAD DE HUERTAS,Licencia,Poblacional,Quebrada LLACLLIN,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO - JASS DE LA LOCALIDAD DE HUERTAS,1053-2020 ANA-AAA-CAÑETE FORTALEZA,2020-11-13,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Recuay,Pararin
41436,MUNICIPALIDAD DISTRITAL DE PARARIN,Licencia,Poblacional,Quebrada LLACLLIN / Quebrada LLACLLIN,MUNICIPALIDAD DISTRITAL DE PARARIN,1057-2020 ANA-AAA-CAÑETE FORTALEZA,2020-11-13,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Recuay,Pararin
41437,MUNICIPALIDAD DISTRITAL DE MARCA,Licencia,Poblacional,Río MARCA,MUNICIPALIDAD DISTRITAL DE MARCA,0476-2019 ANA-AAA-CAÑETE-FORTALEZA,2019-04-03,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Recuay,Marca
41438,COMUNIDAD CAMPESINA SAN LORENZO DE MARCA,Licencia,Agrícola,Quebrada HUEYLLA,COMUNIDAD CAMPESINA SAN LORENZO DE MARCA,147-2021 ANA-AAA CAÑETE FORTALEZA,2021-02-16,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Recuay,Marca
41439,COMUNIDADA CAMPESINA DE RAQUIA,Licencia,Agrícola,Quebrada PARAISO,COMUNIDADA CAMPESINA DE RAQUIA,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Antonio Raymondi
41440,COMUNIDADA CAMPESINA DE RAQUIA,Licencia,Agrícola,Quebrada PARAISO,COMUNIDADA CAMPESINA DE RAQUIA,,,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Antonio Raymondi
41441,MUNICIPALIDAD DISTRITAL DE CAJACAY,Licencia,Poblacional,Manantial COLCA BAJA III,MUNICIPALIDAD DISTRITAL DE CAJACAY,979-2020 ANA-AAA.CAÑETE FORTALEZA,2020-11-02,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Bolognesi,Cajacay
41442,COMUNIDAD CAMPESINA PAMPAS CHICO,Licencia,Agrícola,Quebrada TANCARPO,COMUNIDAD CAMPESINA PAMPAS CHICO,1004-2020 ANA-AAA-CAÑETE FORTALEZA,2020-11-06,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Recuay,Pampas Chico
41443,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO - JASS CASERIO DE JACAR,Licencia,Poblacional,Manantial RARAHUIN,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO - JASS CASERIO DE JACAR,1054-2020 ANA-AAA-CAÑETE FORTALEZA,2020-11-13,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Recuay,Pampas Chico
41444,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO - JASS DE LA LOCALIDAD PAMPAS CHICO,Licencia,Poblacional,Manantial CAUSQUISH WACHANAN / Manantial SHEUCURPUYANCU / Manantial PACHAPUCRO,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO - JASS DE LA LOCALIDAD PAMPAS CHICO,1056-2020 ANA-AAA-CAÑETE FORTALEZA,2020-11-13,Cañete Fortaleza,Barranca,Cuenca Fortaleza,Recuay,Pampas Chico
41445,COMITE DE USUARIOS DE AGUA SUBTERRANEA DEL POZO N°03 DEL CENTRO POBLADO MENOR TAYCA,Licencia,Agrícola,Acuífero HUARMEY,COMITE DE USUARIOS DE AGUA SUBTERRANEA DEL POZO N°03 DEL CENTRO POBLADO MENOR TAYCA,1422-2024 ANA-AAA.HCH,2024-12-04,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Huarmey,Huarmey
41446,Junta Administradora de Servicios de Saneamiento (JASS) del Centro Poblado Rural MOLINOPAMPA,Licencia,Poblacional,Manantial Chaqui Mayo,Junta Administradora de Servicios de Saneamiento (JASS) del Centro Poblado Rural MOLINOPAMPA,0667-2024 ANA-AAA.HCH,2024-06-17,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Huarmey,Malvas
41447,COMITÉ DE USUARIOS DE AGUA SUPERFICIAL UTCU,Licencia,Agrícola,Río MALVAS / Río MALVAS / Río MALVAS / Río MALVAS,COMITÉ DE USUARIOS DE AGUA SUPERFICIAL UTCU,0086-2021 ANA-AAA.HCH,2021-02-17,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Huarmey,Malvas
41448,COMITÉ DE USUARIOS DE AGUA SUPERFICIAL SANTA CRUZ,Licencia,Agrícola,Río COTAPARACO / Río COTAPARACO / Quebrada YUPE URAN / Quebrada JATUN JATUN URAN,COMITÉ DE USUARIOS DE AGUA SUPERFICIAL SANTA CRUZ,0441-2020 ANA-AAA.HCH,2020-08-21,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Huarmey,Cochapeti
41449,JUNTA ADMINISTRADORA DE LOS SERVICIO DE SANEAMIENTO JASS - DE LA LOCALIDAD DE PARARIN,Licencia,Poblacional,Quebrada PALCA,JUNTA ADMINISTRADORA DE LOS SERVICIO DE SANEAMIENTO JASS - DE LA LOCALIDAD DE PARARIN,1227-2024 ANA-AAA.HCH,2024-10-18,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Recuay,Pararin
41450,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO DE SAN MIGUEL,Licencia,Poblacional,Manantial Chupa Tranga,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO DE SAN MIGUEL,0263-2023 ANA-AAA.HCH,2023-05-11,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Huarmey,Malvas
41451,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO RURAL ERAJIRCA,Licencia,Poblacional,Manantial JAHUAC,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO RURAL ERAJIRCA,0083-2021 ANA-AAA.HCH,2021-02-17,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Huarmey,Malvas
41452,"Comité de usuarios de agua de riego de la Comunidad Campesina San Agustín de Almizcle de los canales Purcucancha, Piruru, Lapitoc, Pitianque",Licencia,Agrícola,Laguna ROCUQUITA / Laguna CONDORCOCHA / Quebrada CONDORCOCHA / Laguna YANACOCHA,"Comité de usuarios de agua de riego de la Comunidad Campesina San Agustín de Almizcle de los canales Purcucancha, Piruru, Lapitoc, Pitianque",1289-2019 ANA-AAA.HCH,2019-12-20,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,Coris
41453,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO RURAL DE SUCCHAPAMPA,Licencia,Poblacional,Manantial WINGI,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO RURAL DE SUCCHAPAMPA,0572-2023 ANA-AAA.HCH,2023-10-05,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,Succha
41454,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO DE KERUHURAN,Licencia,Poblacional,Manantial SHACSHA / Manantial CANCAR OKO,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO (JASS) DEL CENTRO POBLADO DE KERUHURAN,0085-2021 ANA-AAA.HCH,2021-02-17,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,Aija
41455,COMITE DE USUARIOS DE AGUA MALLQUI,Licencia,Agrícola,Río MALLQUI / Quebrada Shacsha / Quebrada Zuche,COMITE DE USUARIOS DE AGUA MALLQUI,0712-2023 ANA-AAA.HCH,2023-12-18,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,Aija
41456,COMITE DE USUARIOS DE AGUA SUPERFICIAL QUILLOC,Licencia,Agrícola,Quebrada Allma / Manantial Muñacancha,COMITE DE USUARIOS DE AGUA SUPERFICIAL QUILLOC,0993-2024 ANA-AAA.HCH,2024-08-15,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,Aija
41457,COMITÉ DE USUARIOS DE AGUA SUPERFICIAL PUTACA MALLQUI,Licencia,Agrícola,Manantial Ñawin Puquio 1 / Manantial Ñawin Puquio 2 / Manantial Ñawin Puquio 3,COMITÉ DE USUARIOS DE AGUA SUPERFICIAL PUTACA MALLQUI,0352-2023 ANA-AAA.HCH,2023-06-27,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,Aija
41458,Junta Administrativa de Servicios de Saneamiento (JASS) del Centro Poblado de Mallqui,Licencia,Poblacional,Manantial Shaqsha / Manantial Kankar,Junta Administrativa de Servicios de Saneamiento (JASS) del Centro Poblado de Mallqui,0181-2024 ANA-AAA.HCH,2024-03-06,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,Aija
41459,Comité de usuarios de agua Santa Cruz de Rurek,Licencia,Agrícola,Laguna YUTAN / Quebrada LLUTAY / Quebrada CUNCUSH / Quebrada ZTACAPAMPA / Laguna TUCTU / Manantial RUKIPUKRO,Comité de usuarios de agua Santa Cruz de Rurek,0438-2020 ANA-AAA.HCH,2020-08-31,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,La Merced
41460,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE CUIRAP,Licencia,Poblacional,Manantial Putzpun,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE CUIRAP,0529-2021 ANA-AAA.H.CH,2021-08-31,Huarmey Chicama,Casma Huarmey,Cuenca Huarmey,Aija,La Merced
