ID_registro;N;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;RUC;MUNI_ADMINISTRA;COD_UF;DENOMINACIÓN;ZONA;ESTE;NORTE;PERIMETRO;ÁREA_M2;ÁREA_HA;MUNI_DISPONEN;CANT_DISP;SEGREGA;CRIANZA_ANIM;QUEMA_RRSS;RRSS_SALUD;RRSS_INDU;AGUAJAL;BOFEDAL;PANTANO;AMORTIGUAMIENTO_ANP;ANP;CATEGORIA;AÑO_INCORPORACION;DOCUMENTO_INCORPORACION;DOCUMENTO_ACTUALIZACION;PLAN_RECUPERACION_RECONVERSION
37744;1375;130805;La Libertad;Pataz;Huaylillas;20187651019;MUNICIPALIDAD DISTRITAL DE HUAYLILLAS;UF0038517;Botadero Macull;18;240193.0;9095908.0;250;3500;0.35;Municipalidad distrital de Huaylillas;No Precisa;No;No;Si;No;No;No;No;No;No;No;Recuperación;2024;Resolución N°00087 -2024-OEFA/DSIS;;
37745;1376;130806;La Libertad;Pataz;Huayo;20314401221;MUNICIPALIDAD DISTRITAL DE HUAYO;UF0009340;Botadero Anexo Santa Cruz;18;215096.0;9114962.0;120.099746;701.634851;0.070163;Municipalidad distrital de Huayo;2.9;No;No;No;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37746;1377;130808;La Libertad;Pataz;Parcoy;20200270968;MUNICIPALIDAD DISTRITAL DE PARCOY;UF0010621;Botadero Sector Llaupa;18;218901.0;9121141.0;348.478247;8052.786513;0.805279;Municipalidad distrital de Parcoy;5;No;No;Si;No;Si;No;No;No;Si;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37747;1378;130808;La Libertad;Pataz;Parcoy;20200270968;MUNICIPALIDAD DISTRITAL DE PARCOY;UF0040017;Botadero Collona;18;211860.0;9123878.0;174;1800;0.18;Municipalidad distrital de Parcoy;45;Si;No;No;No;No;No;No;No;No;No;Recuperación;2025;RESOLUCIÓN N° 00013-2025-OEFA/DSIS;;
37748;1379;130809;La Libertad;Pataz;Pataz;20275817814;MUNICIPALIDAD DISTRITAL DE PATAZ;UF0010683;Botadero Sector Pushgil;18;218165.0;9139518.0;115.186444;772.117479;0.077212;Municipalidad distrital de Pataz, Municipalidad distrital de Huaranchal;No Precisa;Si;No;Si;No;Si;No;No;No;Si;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37749;1380;130809;La Libertad;Pataz;Pataz;20275817814;MUNICIPALIDAD DISTRITAL DE PATAZ;UF0018168;Botadero Calquiche;18;208554.082;9136106.72;696.8;20000;2;Municipalidad distrital de Pataz ;7.64;No;No;No;No;No;No;No;No;Si;No;Reconversión;2022;Resolución N.° 00018-2022-OEFA/DSIS;;
37750;1381;130810;La Libertad;Pataz;Piás;20201991057;MUNICIPALIDAD DISTRITAL DE PIÁS;UF0010684;Botadero Sector Quebrada Trancahuayco;18;219043.0;9129043.0;113.058505;735.344914;0.073534;Municipalidad distrital de Pias;0.9;No;No;No;Si;Si;No;No;No;Si;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37751;1382;130810;La Libertad;Pataz;Piás;20201991057;MUNICIPALIDAD DISTRITAL DE PIÁS;UF0036245;Botadero Quizancruz;18;220132.0;9125980.0;190;2400;0.24;Municipalidad distrital de Piás;0.571;No;No;Si;No;No;No;No;No;Si;No;Recuperación;2023;Resolución N.° 00031-2023-OEFA/DSIS;;
37752;1383;130811;La Libertad;Pataz;Santiago de Challas;20354035589;MUNICIPALIDAD DISTRITAL DE SANTIAGO DE CHALLAS;UF0010681;Botadero Sector Pumya;18;245243.0;9068831.0;431.319689;4629.134028;0.462913;Municipalidad distrital de Santiago de Challas, Municipalidad distrital de Urpay;1.7;No;No;Si;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37753;1384;130812;La Libertad;Pataz;Taurija;20220331581;MUNICIPALIDAD DISTRITAL DE TAURIJA;UF0010626;Botadero Sector Los Sharpos;18;235174.0;9082204.0;113.616219;957.484902;0.095748;Municipalidad distrital de Taurija;2;No;No;No;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
